1719884100000,62918.00000000,62918.00000000,62914.10000000,62914.11000000,1.75437000,1719884159999,110378.52370540,197,0.66943000,42117.02647010,0
1719884160000,62914.10000000,62914.11000000,62902.01000000,62902.02000000,1.99345000,1719884219999,125407.21350770,455,0.10344000,6507.08910190,0
1719884220000,62902.02000000,62907.99000000,62900.04000000,62907.98000000,1.96056000,1719884279999,123327.75051660,448,1.36721000,86003.29108630,0
1719884280000,62907.98000000,62907.99000000,62876.00000000,62876.01000000,3.58040000,1719884339999,225196.12684790,644,0.40546000,25503.93502100,0
1719884340000,62876.01000000,62876.01000000,62865.01000000,62865.01000000,1.95020000,1719884399999,122614.93610690,379,0.85805000,53950.17531070,0
1719884400000,62865.02000000,62865.02000000,62831.02000000,62831.03000000,8.12708000,1719884459999,510744.62903440,628,0.91666000,57600.44780720,0
1719884460000,62831.03000000,62848.95000000,62831.02000000,62837.68000000,18.87082000,1719884519999,1185739.71854380,846,3.95355000,248426.15836960,0
1719884520000,62837.68000000,62837.69000000,62816.18000000,62816.19000000,2.91314000,1719884579999,183024.36140520,466,0.44213000,27779.05739490,0
1719884580000,62816.19000000,62840.00000000,62815.71000000,62839.99000000,7.02532000,1719884639999,441365.09287610,605,5.62902000,353637.61931950,0
1719884640000,62839.99000000,62854.00000000,62839.99000000,62854.00000000,8.89471000,1719884699999,558972.25129250,297,6.89225000,433119.41454580,0
1719884700000,62854.00000000,62866.71000000,62853.99000000,62866.71000000,2.12700000,1719884759999,133707.54332340,411,1.16829000,73438.77029700,0
1719884760000,62866.71000000,62882.00000000,62866.70000000,62882.00000000,8.12114000,1719884819999,510622.14516700,668,7.57467000,476260.44732630,0
1719884820000,62882.00000000,62916.34000000,62881.99000000,62911.11000000,16.13918000,1719884879999,1014995.63146060,984,13.51694000,850034.71547540,0
1719884880000,62911.11000000,62911.11000000,62892.00000000,62892.00000000,4.13247000,1719884939999,259947.15448050,318,0.13539000,8516.64968490,0
1719884940000,62892.01000000,62915.99000000,62892.00000000,62915.99000000,3.60077000,1719884999999,226510.87014540,531,3.37782000,212484.30318620,0
1719885000000,62915.99000000,62933.27000000,62915.99000000,62933.26000000,2.26040000,1719885059999,142235.33284050,469,1.78534000,112340.59624980,0
